Franchise Number,Name,Owner,Address,City,State,Zip
10043,Kosciusko and Noble Counties,"Atkins, Philip D.",3624 N. State Road 15,Warsaw,IN,46582-
10044,North Arlington,"Patel, Kalpesh","25387 Pleasant Valley Rd, Unit 155",South Riding,VA,20152-
10045,Loudoun County,"Patel, Kalpesh","25387 Pleasant Valley Rd, Unit 160",South Riding,VA,20152-
10046,Fairfax/Vienna/Oakton,"Patel, Kalpesh","25387 Pleasant Valley Rd, Unit 160",South Riding,VA,20152-
10050,El Centro/Salton City,"Alvarez, Andy & Karina",584 Main Street,El Centro,CA,92243-
10056,Durham,"Robbins, Timothy",74 Industrial Park Drive,Dover,NH,03820-
10057,North Highlands/Rio Linda,"Voss, Troy J. & Jannel D.",5704 Dry Creek Rd.,Rio Linda,CA,95673-
10063,Black Hawk County,"Demuth, Scott & Elizabeth",3165 West Airline Hwy,Waterloo,IA,50703-
10064,South Mobile County,"Mayhall, T. John & Amanda & Mayhall, Christopher L.",2781 Macmae Drive,Mobile,AL,36606-
10065,Beverly/Cape Ann,"LaGrassa, Vincent & LaGrassa, Antonio",140 Elliott Street,Beverly,MA,01915-
10068,Northwest Charlotte,"Cox, J. Daniel & Benkeser, Penny",9006 Perimeter Woods Drive,Charlotte,NC,28216-
10071,Ottumwa/Oskaloosa,"Meyer, Brian Carlos",201 Osage Drive,Ottumwa,IA,52501-
10073,Farmingdale/Massapequa,"Loiacono, William & Loiacono, Stephen",1 Rome Street,Farmingdale,NY,11735-
10079,Buffalo Grove/Lake Zurich,"Pietranek, Richard & Murphy, Jerome",1098 Johnson Drive,Buffalo Grove,IL,60089-
10080,Carol Stream/East Bloomingdale,"Pietranek, Richard & Murphy, Jerome",1098 Johnson Drive #1,Buffalo Grove,IL,60089-
10081,W. St. Joseph County,"Swizek, Thomas","55667 Currant Rd., Ste. C",Mishawaka,IN,46545-
10082,"South Bend, NE","Swizek, Thomas",55667 Currant Road,Mishawaka,IN,46545-
10083,Poolesville/Clarksburg/Damascus,"Dickinson, Max",10528 Saint Paul Street,Kensington,MD,20895-
10084,Wheaton/Kensington,"Dickinson, Max",10528 Saint Paul Street,Kensington,MD,20895-
10085,Matteson-Homewood,"Nichols, Robert L. & Kata L.","21750 Main Street, Unit 3",Matteson,IL,60443-
10086,Highland/North Redlands,"Borcsa, Csaba",P.O. Box 708,Highland,CA,92346-
10089,Langhorne/Bensalem,"Paparone, Michael David & Paparone, Michael",890 Tennis Avenue,Bensalem,PA,19020-
10090,Fox Chase/Torresdale,"Paparone, Michael David & Paparone, Michael",890 Tennis Avenue,Bensalem,PA,19020-
10093,Braun Station,"Simonis, Erik A. & Samantha S.",5212 Heath Road,San Antonio,TX,78250-
10095,Fountain Valley,"Padilla, Glenn & Angela C.","10885 Kalama River Avenue, Unit K",Fountain Valley,CA,92708-
10097,Jacksonville South,"Clark, Bryce A.",750 Cassat Avenue,Jacksonville,FL,32205-
10100,Woodcrest/El Cerrito/Lake Mathews,"Lingurar, George & Rodica S.",19069 Van Buren Blvd. Ste. 114-423,Riverside,CA,92508-
10101,Hacienda Heights/Rowland Heights,"Basch, James & Mimi & Basch, Christian & Basch, Tanner",17128 Colima Road,Hacienda Heights,CA,91745-
10105,Ebensburg,"Weaver, Benjamin J. & Kuncelman, Jeffrey J.",6733 Admiral Peary Hwy,Loretto,PA,15940-
10106,Albany,"Carter, Benjamin Kyle",3359 Palmyra Road,Albany,GA,31707-
10107,Americus,"Carter, Benjamin Kyle",3359 Palmyra Road,Albany,GA,31707-
10109,Ascension Parish,"Burychka, Darren",11923 Cloverland Avenue,Baton Rouge,LA,70809-
10110,Evergreen Park/South Chicago City,"Zubricki, Frank G. & Patricia & Zubricki, Anthony F. & Zubricki, Amanda L. & Zubricki, Stephanie L.",5262 S. Kolmar Avenue,Chicago,IL,60632-
10111,Marquette Park/West Lawn/Ford City,"Zubricki, Frank G. & Patricia & Zubricki, Anthony F. & Zubricki, Amanda L. & Zubricki, Stephanie L.",5262 S Kolmar Avenue,Chicago,IL,60632-
10112,Pottstown/Souderton,"Lachowicz, Edward & Lisa",P.O. Box 741,Pottstown,PA,19464-
10114,Anaheim Central/Garden Grove East,"Cheeley, Marc & Maram","1501 N. Raymond Ave, Suite J",Anaheim,CA,92801-
10116,Houston County,"Bisig, Justin & Bisig, Brandon & Perazzola, Carl S.",822 Highway 247 S,Kathleen,GA,31047-
10117,Carson/West Carson,"Mokhtari, Faramarz & Azita",20830 Leapwood Avenue,Carson,CA,90746-
10119,Northwest Spokane,"Knight, Steve & Brandy & Knight, Chandler",4625 E. Trent Avenue,Spokane,WA,99212--1342
10121,Bloomfield/Enfield,"Garcia, MD, Noemi T.",100 Peters Road,Bloomfield,CT,06002-
10124,North Bethesda/Aspen Hill/Rossmoor,"Zamora, Christian A.",5030 Boiling Brook Parkway,Rockville,MD,20852-
10127,Levittown,"Kelly, William J. & Bonnie A.",1202 Branagan Drive,Tullytown,PA,19007-
10128,Warren County,"Moody, William J. & Porter, Susan",1999 River Street,Bowling Green,KY,42101-
10132,Fayette/S. Fulton Counties,"Wilson, Ricky & Cathy Joyce & Wilson, Jeremy & Wilson, Zachary",1132 Culpepper Drive,Conyers,GA,30094-
10134,Greeley/Windsor,"McGuffey, Luke & Kristina",827 5th street,Greeley,CO,80631-
10135,Vincennes,"Drewes, Daniel J. & Morgan M.",712 Upper 11th St.,Vincennes,IN,47591-
10136,La Habra/West Fullerton,"Vazquez, Jose Ramos & Ramos, Norma A. & Balcazar, Jonathan Sanchez & Ramos, Stephanie",9245 Santa Fe Springs Road,Santa Fe Springs,CA,90670-
10141,North Chattanooga,"Cuthbertson, Jeffrey & Jessica",9028 Jetrail Drive,Ooltewah,TN,37363-
10142,Arvada,"Olson, Erik S. & Kristine C. & Beck, Scott",9085 Marshall Court,Westminster,CO,80031-
10143,North Fulton,"Northen, Rick R.",8850 Dunwoody Place,Atlanta,GA,30350-
10144,Overbrook/Wynnefield,"Fabiani, Vincent G.",5127 Lancaster Ave.,Philadelphia,PA,19131-
10146,Waterbury,"Randolph, Graham Allen & Susan",2095 S Main Street #8,Waterbury,CT,06706-
10147,New Haven,"Randolph, Graham Allen & Susan",1 Corporate Drive,North Haven,CT,06473-
10149,Northern Westchester County,"Randolph, Graham Allen & Susan",364 Adams Street,Bedford Hills,NY,10507-
10150,South Dayton,"Shooter, Greg & Shooter, Gary",113 Harbert Drive,Beavercreek,OH,45440-
10151,South West Dayton,"Shooter, Greg & Shooter, Gary",113 Harbert Drive,Beavercreek,OH,45440-
10156,Ozone Park/Jamaica Bay,"Wardell, Raymond",87-17 97th Avenue,Ozone Park,NY,11416-
10157,Marion/Middleborough,"Glassman, Douglas",208 Wareham Street #141,Middleborough,MA,02346-
10158,Dartmouth/New Bedford,"Glassman, Douglas",1476 Purchase Street,New Bedford,MA,02740-
10159,Southbury/Torrington,"Geaski, Gregory J.",15 Main Street,Torrington,CT,06790-
10161,Southwest Jefferson County,"Wilson, Jason E.",334 Production Court,Louisville,KY,40299-
10162,Northeast Jefferson County,"Wilson, Jason E.",334 Production Court,Louisville,KY,40299-
10163,"Anderson, Franklin and Scott Counties","Phillips, Jason & Smith, Jeff D.",P.O. Box 1422,Georgetown,KY,40324-
10169,Babylon/Deer Park,"Lucchesse, Robert & Dianne",411 Broadway,West Babylon,NY,11704-
10171,The Windsors,"Senese, Antonio","22 Thompson Road, Area 8 & 9",East Windsor,CT,06088-
10173,Layton/Kaysville,"Grimstead, Joshua S. & Jeanene","900 N. 400 West, #4",North Salt Lake,UT,84054-
10176,Linn County,"McGinnis, Timothy D. & Cynthia L. & McGinnis, Nicholas J. & Monica N. & McGinnis, Matthew A. & Alesha J.",6835 NE Arnold Avenue,Adair Village,OR,97330-
10182,Lafayette/Louisville,"Gallagher, Justin",3000 Airport Drive Unit 307,Erie,CO,80516-
10184,Boise,"Isaacson, Christian A. & Buchanan, Winder",2882 N Eagle Road,Meridian,ID,83646-
10185,Meridian/Star/Eagle,"Isaacson, Christian A. & Buchanan, Winder",2882 N Eagle Road,Meridian,ID,83646-
10189,East Central Cincinnati,"Wright, Patrick A.",1850 Summit Rd.,Cincinnati,OH,45237-
10190,"Breckinridge, Grayson, Meade & Hancock Counties","Matney, Michael & Wright, Donald",4135 S Highway 259,Westview,KY,40178-
10191,West Pensacola,"Stone, Larry & Ward, Millie & Stone, Steve",1101 S. Fairfield Drive,Pensacola,FL,32506-
10192,"Boyd, Carter, Greenup & Lewis Counties","Rowe, Jerry & Rowe, James",708 Argillite Road,Flatwoods,KY,41139-
10195,"DeRidder, Leesville & Vinton","Culton, Mark S. & Patricia B.",2819 Highway 171,DeRidder,LA,70634-
10197,Cedar City/Fillmore,"Jennings, Matt & Lindsey",872 N. 2225 West Circle #B,Cedar City,UT,84721-
10202,Streamwood/Bartlett/West Chicago City,"Pearson, Steve & Capista, Chad",40 A Stonehill Road,Oswego,IL,60543-
10203,North Laredo,"Wirsching, III, Joseph & Gutierrez-Wirsching, Sandra",P.O. Box 450950,Laredo,TX,78045-
10206,NW & SE Dutchess County,"Smith, Scott C. & Lisa Ann L.",506 Salt Point Turnpike,Poughkeepsie,NY,12601-
10210,E. Vancouver/Clark Co.,"McGraw, Paul & Melinda",P.O. Box 2526,Vancouver,WA,98668-
10211,W. Vancouver/Clark Co.,"McGraw, Paul & Melinda",P.O. Box 2526,Vancouver,WA,98668-
10222,Affton/Webster Groves,"Thole, Kevin A. & Hulsey, Matthew",87 Grasso Plaza Shopping Center 158,Affton,MO,63123-
10223,"South Champaign, Clark, Douglas, Edgar & Moultrie Cou","McGuire, David & Suzanne",3813 N. Cunningham Avenue,Urbana,IL,61802-
10224,South Kenosha County,"Oremus, Michael & Kathleen & Oremus, Eric & Ashley","1000 Lotus Drive, Unit 6",Silver Lake,WI,53170-
10225,Kent,"McDonald, Kirk L.","8320 South 208th Street, Suite H 101",Kent,WA,98032-
10228,Helena & Great Falls,"Steen, Ryan M. & Sarah M.",479 Lincoln Road W,Helena,MT,59602-
10230,North Everett/Lake Stevens/Monroe,"Leavens, Paul & Amy","1830 Bickford Ave, Ste 101",Snohomish,WA,98290-
10232,Valdosta,"Holland, Benjamin R. & Lavallee, Ryan",707 East Hill Ave.,Valdosta,GA,31601-
10233,Raytown/East Kansas City,"Kimbley, Chad E.",1001 W Hunters Ridge,Lee's Summit,MO,64086-
10237,South Everett,"Leavens, Paul & Amy",1830 Bickford Avenue Suite 101,Snohomish,WA,98290-
10247,Greenwich,"Keating, Michael",173 Main Street,Norwalk,CT,06851-
10248,"Trumbull, Monroe and Northern Bridgeport","Keating, Michael",173 Main Street,Norwalk,CT,06851-
10249,Norwalk/Wilton,"Keating, Michael",173 Main Street,Norwalk,CT,06851-
10251,Stamford,"Keating, Michael",173 Main Street,Norwalk,CT,06851-
10253,NE Grand Rapids,"Griffioen, Brent & Jessica",5253 West River Ct NE,Comstock Park,MI,49321-
10254,Big Rapids/Fremont,"Griffioen, Brent & Jessica",5253 West River Ct NE,Comstock Park,MI,49321-
10255,South Baton Rouge,"Betz, Jeffrey L. & McDaniel, Wilbur G. & Betz, Blake J. & Neathery, Timothy J.",P.O. Box 38,Greenwell Springs,LA,70739-
10256,Seattle Northwest,"Ells, Travis & York, Shannon & Sara",7533 W. Bostian Road,Woodinville,WA,98072-
10258,The Upper Peninsula,"Bonetti, Neil J. & Gay, Ryan T.",P.O. Box 432,Ishpeming,MI,49849-
10259,Bartow County,"Johnston, Rachel & Rogers, Derek & Astin, Danielle","30 River Ct, Bldg A",Cartersville,GA,30120-
10260,Appleton,"Snyder, Charles J.",1066 American Drive,Neenah,WI,54956-
10261,Winnebago County,"Snyder, Charles J.",1066 American Drive,Neenah,WI,54956-
10268,Ogden,"Rich, David J.",2020 Painter Lane,West Haven,UT,84401-
10269,University Place/Lakewood West,"Shaw, Lloyd & Jennifer",P.O. Box 1173,Tacoma,WA,98401-
10271,Edmond,"Jones, David D. & Jamie E.",112 NE 138th Street,Edmond,OK,73013-
10275,Northeast Bergen County,"Palumbo, Anthony & Danielle",700-76 Broadway #316,Westwood,NJ,07675-
10276,Allegany & Garrett Counties,"Sferro, Richard & Renee",29000 Garrett Highway,Accident,MD,21520-
10278,Minnetonka,"Clemente, Scott",6031 Culligan Way,Minnetonka,MN,55345-
10280,Coon Rapids/Central Anoka County,"Clemente, Scott",160 Northdale Blvd NW,Coon Rapids,MN,55448-
10281,West Hills,"McSorley, Douglas M. & Holliday, Jeffrey J.",1331 Fifth Avenue,Coraopolis,PA,15108-
10282,Ft. Lauderdale South,"Panster, Michael","401 E. Las Olas Blvd, Ste 1400",Ft. Lauderdale,FL,33301-
10283,Crofton/Odenton/Severn,"Shuey, James & Dove, Charles","8176 Telegraph Rd, Ste C-D",Severn,MD,21144-
10285,Greensburg,"Wood, James M. & Marylou L.",607 Ludwick Street,Greensburg,PA,15601-
10288,Northwest Las Vegas,"Zachary, Dennis & Jodi","10161 Park Run Drive, Suite 150",Las Vegas,NV,89145-
10289,Summerlin North/Sun City,"Zachary, Dennis & Jodi","10161 Park Run Drive, Suite 150",Las Vegas,NV,89145-
10290,South Rock County,"Weber, Timothy & Alicia",1506 Center Avenue,Janesville,WI,53546-
10291,Monterey Peninsula,"Carrillo, Steven F.","8 Harris Court, Suite E-5",Monterey,CA,93940-
10293,Madison North & East,"Pope, Sarah L. & Wilkinson, Jason",5959 Haase Road,DeForest,WI,53532-
10294,Madison South & West,"Pope, Sarah L. & Wilkinson, Jason",5959 Haase Road,DeForest,WI,53532-
10295,Elk Grove/Laguna,"Langford, Daniel E. & Sara J.",9743 Kent Street,Elk Grove,CA,95624-
10299,North Rensselaer/South Washington Counties,"Flood, John M.",1043 NY 22,Cambridge,NY,12816-
10300,Dane County West,"McEllistrem, James Christopher & Heather L.","275 Bruce Street, Suite 125",Verona,WI,53593-
10301,Pismo Beach/Arroyo Grande,"Powers, Mark J.",1131 Pike Lane Suite 9,Oceano,CA,93445-
10303,Wichita Falls,"Ryan, Aaron A. & Kaycee R. & Watts, Michael T. & Sara L.",5405 Centime Drive Suite 100,Wichita Falls,TX,76305-
10305,Stone Oak,"Conner, Fleming R. & Chelsea A. & Galligan, Sean M.","18847 Redland Rd, Ste 103",San Antonio,TX,78259-
10308,West Loop/Bucktown/Greektown,"Zubricki, Frank G. & Patricia & Zubricki, Anthony F.",1016 W Jackson Blvd #320,Chicago,IL,60607-
10311,San Diego Bay SW/Coronado,"Barsnica, Michael & Bonni & Tomsey, Scott",2043 Main Street,San Diego,CA,92113-
10313,Richmond,"Bahen, Andrew M. & Theresa C.",12200 Deergrove Road,Midlothian,VA,23112-
10314,Henrico County,"Bahen, Andrew M. & Theresa C.",12200 Deergrove Road,Midlothian,VA,23112-
10315,West Riverside City,"Schmidt, Christopher & Alexsandra",9825 Magnolia Ave. Suite B311,Riverside,CA,92503-
10321,Moorpark/Fillmore/Santa Paula,"Reed, Alan F. & Corral, Manuel T. & Barber, Darryn",2655 Park Center Drive Unit B,Simi Valley,CA,93065-
10322,SW Columbus,"Parker, Kenneth N. & Pack, Ronnie D. & Spence, Michael R.",7440 Pingue Drive,Worthington,OH,43085-
10323,Northwest Columbus,"Parker, Kenneth N. & Pack, Ronnie D. & Spence, Michael R.",7440 Pingue Drive,Worthington,OH,43085-
10324,Gahanna,"Parker, Kenneth N. & Pack, Ronnie D. & Spence, Michael R.",7440 Pingue Drive,Worthington,OH,43085-
10325,Upper Arlington,"Parker, Kenneth N. & Pack, Ronnie D. & Spence, Michael R.",7440 Pingue Drive,Worthington,OH,43085-
10326,Northeast Columbus,"Parker, Kenneth N. & Pack, Ronnie D. & Spence, Michael R.",7440 Pingue Drive,Worthington,OH,43085-
10327,West Columbus,"Parker, Kenneth N. & Pack, Ronnie D. & Spence, Michael R.",7440 Pingue Drive,Worthington,OH,43085-
10330,Marine City/Romeo,"MacEwan, John E. & Marie A. & MacEwan, Scott E. & MacEwan, Robert P.",8310 River Road,Marine City,MI,48039-
10331,Panthersville,"Coleman, Nadine Marsh","4153 Flat Shoals Pkwy, Bldg B, Ste 202",Decatur,GA,30034-
10338,Racine County,"Weber, Timothy & Alicia & Kahrs, Andrew D.",5626 21st Street,Racine,WI,53406-
10339,North Rock County,"Weber, Timothy & Alicia",1506 Center Avenue,Janesville,WI,53546-
10340,West Sioux Falls,"Birger, Adam T. & Jessica M.",701 E. 48th Street N.,Sioux Falls,SD,57104-
10341,Montrose/Telluride,"Miller, Thomas Ivan",2990 N Townsend Avenue,Montrose,CO,81401-
10343,Dover/Stillwater,"Blehl, John E.",15 N Morris St H,Dover,NJ,07801-
10344,Alexandria,"Berlin, Brian C. & Brewer, Jr., John M.",200 McKeithen Drive,Alexandria,LA,71303-
10345,North Lilburn,"Bowen, Brian H. & Bowen, Bruce H.","4150 Shackleford Road, Ste 540",Norcross,GA,30093-
10346,Wynwood,"Calzada, Jr., Osvaldo","2520 Coral Way, Suite 2-301",Coral Gables,FL,33145-
10347,Pontiac/N. McLean & SE Woodford Counties,"Tucker, Jacob & Deborah",9 Quest Drive,Bloomington,IL,61705-
10349,Clayton/Ladue,"Thole, Kevin A. & Hulsey, Matthew",6642 Clayton Road #325,Richmond Heights,MO,63117-
10351,Cookeville/Carthage/Smithville/Woodbury,"Craighead, Phillip Lee",P.O. Box 49718,Cookeville,TN,38506-
10353,Milton/Braintree,"Sheehan, Christopher C","260 Centre Street, Unit B",Holbrook,MA,02343-
10354,Spring Valley/Jamul,"Degraffenreid, Jason A. & Jennie C.",8810-C Jamacha Boulevard #315,Spring Valley,CA,91977-
10356,Newtown/Yardley/New Hope,"Kelly, William J. & Bonnie A.",1202 Branagan Drive,Tullytown,PA,19007-
10357,North San Bernardino City,"Pal, Alexandrina L.",2124 Kern Street,San Bernardino,CA,92407-
10358,South Jordan/North Draper,"Tatom, Bradley & Susan & Tatom, Kevin & Tatom, Stephen",611 W 9560 S Ste A,Sandy,UT,84070-
10359,Waltham/Weston/Watertown/Wayland,"Taylor (Couturier), Steven & Taylor (Couturier), David","50 Sun St, Ste 1",Waltham,MA,02453-
10360,Geauga County,"Bowdren, Michael",9900 E. Washington Street,Chagrin Falls,OH,44023-
10361,East Harford County,"Wall, Jr., James R. & Wall, Patricia A.",P.O. Box 156,Cockeysville,MD,21030-
10363,Bel Air,"Wall, Jr., James R. & Wall, Patricia A.",P.O. Box 156,Cockeysville,MD,21030-
10364,"Downtown Oklahoma City, Midtown","Bates, Cory & Whittle, Michael & Hogan, Michael","100 Park Avenue, Suite 700",Oklahoma City,OK,73102-
10367,Brunswick & South Columbus Counties,"Thompson, Davis M.",1409 Ocean Highway West,Supply,NC,28462-
10368,La Mesa & Lemon Grove,"Thompson, James E.","9932 Mesa Rim Road, Suite B",San Diego,CA,92121-
10369,Union County,"Morgan, Shaun C. & Kimberly S.","1617 W. Roosevelt Blvd, Unit G",Monroe,NC,28110-
10371,Lafayette,"Thomas, Gregory A. & Lisa M.","2750 N. 9th St., Ste D",Lafayette,IN,47904-
10372,Chicago Heights/Crete/Beecher,"Nichols, Robert L. & Kata L.",17924 S Halsted St Suite B,Homewood,IL,60430-
10373,Pico Rivera/Santa Fe Springs,"Vazquez, Jose Ramos & Ramos, Norma A. & Balcazar, Jonathan Sanchez & Ramos, Stephanie",9245 Santa Fe Springs Road,Santa Fe Springs,CA,90670-
10374,Ashtabula & North Trumbull Counties,"Dobson, Andrew J. & Katelyn A. & Dobson, James P.",8729 State Route 534,Mesopotamia,OH,44439-
10375,Costa Mesa,"Carano, Tayler & Natali",1631 Placentia Ave A1,Costa Mesa,CA,92627-
10376,Kailua,"Maras, Andrew J. & Glenna R.",45-564 Kamehameha Hwy Unit D,Kaneohe,HI,96744-
10377,Gurnee,"Cowell, Bradley S. & Kelly E.",191 Ambrogio Drive,Gurnee,IL,60031-
10378,Washington/Woolwich,"O'Donnell, Scott",P.O. Box 543,Westville,NJ,08093-
10381,Southwest Portland,"Negro, Gabrielle R. & Spark, Daniel J.",2525 NW Wilson Street,Portland,OR,97210-
10382,Morton Grove/East Niles,"Corvino, Thomas R. & Ann Marie",7125 N. Austin Avenue,Niles,IL,60714-
10385,Beverly Hills/Westwood,"Jeffries, Daniel & Amin, Arezo","8484 Wilshire Blvd, Ste 605",Beverly Hills,CA,90211-
10386,"Brookhaven, McComb & Columbia","Hutson, Kyle",310 Nalco Lane,Brookhaven,MS,39601-
10387,North Atlanta/Buckhead,"Bisig, Justin & Bisig, Brandon","3340 Peachtree Road, Suite 1800",Atlanta,GA,30326-
10388,Northwest Cobb County,"Bisig, Justin & Bisig, Brandon",3360 Dogwood Lane # B3,Acworth,GA,30101-
10389,Anaheim Hills,"Arcila, Edgardo",1261 N Lakeview Avenue Ste J-510,Anaheim,CA,92807-
10390,Upper East Side,"Fox, Thomas G.",1751 2nd Avenue,New York,NY,10128-
10399,Cheyenne,"Hernandez, Ricardo A.",P.O. Box 20632,Cheyenne,WY,82003-
10400,Southeast Portland,"Bucsa, Merci Y.",5100 SE Foster Road,Portland,OR,97206-
10401,La Puente/City of Industry West,"Katkus, Scott M. & Marie J.",13911 Amar Road Suite C,La Puente,CA,91746-
10402,"Adams, Crawford, Vernon, South Monroe & South Juneau","Norris, Vincent & Catherine",2451 Riley Road,Sparta,WI,54656-
10403,El Dorado Hills/Placerville,"Scott, Douglas Lee & Kelsey",4821 Golden Foothill Pkwy #150,El Dorado Hills,CA,95762-
10409,Howard County,"Holland, Charles Jeffery",6671 Santa Barbara Road,Elkridge,MD,21075-
10413,Doral,"Jaramillo, Bresly F. & Carla M.",3186 W. 81st Street,Hialeah,FL,33018-
10416,Lincoln/Northeast Gaston Counties,"Cox, J. Daniel & Benkeser, Penny",4360 Highway 16 North,Denver,NC,28037-
10418,Forest and Magee,"Wheat, William J. & Donna C.",5141 Highway 84 W,Laurel,MS,39443-
10419,Harlingen/San Benito,"Garza, Luis & Rosario V.",425 James Richard Closner Ste B,La Feria,TX,78559-
10420,San Diego City SW,"Sussman, Benjamin M. & Katz, Jordan J.",550 West B Street,San Diego,CA,92101-
10426,Howell/Wall,"Gouda, Saher M.",1016 State Route 33 Unit 1,Freehold,NJ,07728-
10427,Los Gatos/Monte Sereno,"Sargsyan, Artur & Mandanian, Rafik & Mandani, Vaheh",20 S Santa Cruz Ave #300,Los Gatos,CA,95030-
10428,Windham & Windsor Counties,"Paul, Derek A. & Paul, Ryan R.","20 Harvest Park Road, #2",Ascutney,VT,05030-
10429,Central St. Petersburg/Pinellas Park,"Nicholson, Thomas Brent",3798 131st Avenue,Clearwater,FL,33762-
10430,Gulf Beaches South/West St. Petersburg,"Nicholson, Thomas Brent",2963 44th Avenue North,St. Petersburg,FL,33714-
10431,Williamsport/Montoursville,"Kimble, Benjamin L. & Kimble, Gerald L.",2890 Lycoming Mall Drive,Muncy,PA,17756-
10432,Lewisburg/Selinsgrove,"Kimble, Benjamin L. & Kimble, Gerald L.",2890 Lycoming Mall Drive,Muncy,PA,17756-
10433,St. Clair Shores,"Dishman, Joshua A. & Jennifer M.",15715 Martin Road,Roseville,MI,48066-
10434,Lafayette/Moraga/Orinda,"Espinal-Perez, Jesus H. & Medina, Jenny M. V.",P.O. Box 1070,Rohnert Park,CA,94927-
10435,St. Cloud,"Reichle, John K. & Kris M.",1111 7th Street SE,St. Cloud,MN,56304-
10437,Bath,"Baldwin, John W. & Cynthia S.",6045 Hwy 264 E,Washington,NC,27889-
10443,East Dayton/Beavercreek,"Shooter, Greg & Shooter, Gary",113 Harbert Drive,Beavercreek,OH,45440-
10444,Fairborn/Huber Heights,"Shooter, Greg & Shooter, Gary",6242 Executive Boulevard,Huber Heights,OH,45424-
10445,Xenia/Wilmington,"Shooter, Greg & Shooter, Gary",29 W. Main Street,Xenia,OH,45385-
10446,Mar Vista,"Danipour, Joseph & Sabrina",P.O. Box 252025,Los Angeles,CA,90025-
10448,South Albany County,"Cohn, Kathryn A.",P.O. Box 60,Guilderland,NY,12084-
10450,Southern Butler County,"Kandravy, Peter & Meredith",P.O. Box 189,Evans City,PA,16033-
10451,"St. Augustine, St. Augustine Beach, S. Nocatee and Wo","Shirazyan, David F. & Svetlana Y.",2205 Dobbs Road Suite A,St. Augustine,FL,32086-
10452,South Springfield/Agawam,"Press, Ilya I.",P.O. Box 549,Agawam,MA,01001-
10456,Chelmsford/Westford,"Coates, Kevin R.",107 Lunenburg Road,West Townsend,MA,01474-
10460,Catawba County East,"Williams, Randy S. & Kim A.",1112 Conover Blvd. West,Conover,NC,28613-
10461,Catawba County West,"Williams, Randy S. & Kim A.",751 Old Lenoir Road,Hickory,NC,28601-
10462,Rochester,"Kososki, Christopher A. & Lynne M.",2632 S. Rochester Rd,Rochester Hills,MI,48307-
10464,Newton/Wellesley,"Kurzontkowski, David",P.O. Box 3175,Framingham,MA,01705-
10465,Indiana County,"Weaver, Benjamin J. & Kuncelman, Jeffrey J.",2277 Warren Road Suite B,Indiana,PA,15701-
10466,Jefferson City,"Kirk, David",P.O. Box 104323,Jefferson City,MO,65110-
10470,Scottsdale,"Ottaway, Jeffrey & Alesa",17470 N. Pacesetter Way,Scottsdale,AZ,85255-
10472,Park La Brea,"Jones, Mona & Jones, Jordan",6535 Wilshire Blvd Ste 255,Los Angeles,CA,90048-
10473,West Springfield/Newington,"Patel, Kalpesh","25387 Pleasant Valley Rd, Unit 155",South Riding,VA,20152-
10475,Greater Shawnee/Merriam,"Bates, Cory & Hogan, Michael",15365 S. Keeler Street,Olathe,KS,66062-
10476,Culpeper & Fauquier Counties,"Usman, Muhammad & Rati, Bogdan",6581 Commerce Ct,Warrenton,VA,20187-
10477,South Redlands/Yucaipa,"Padgett, Jeffrey",31653 Outer Highway 10,Redlands,CA,92373-
10478,Jamestown/Olean,"Uhl, Jr., William J.",P.O. Box 441,Falconer,NY,14733-
10479,Blackwood/Gloucester Township,"Marinelli, Alfred & Marinelli, Alfred D.",P.O. Box 91,Glendora,NJ,08029-
10480,Wright County,"Hickman, Shaun D.",208 Dundas Rd,Monticello,MN,55362-
10486,Jackson,"Hansbrough, John R. & Gisele P.",134 Marketridge Drive,Ridgeland,MS,39157-
10488,Baldwin County,"Bruscato, Paul Joseph & Melinda P.",416 N. McKenzie Street,Foley,AL,36535-
10491,Hemet,"Radu, Daniel & Elena",3512 Tanya Avenue,Hemet,CA,92545-
10492,Midtown Memphis,"Clark, Jeffrey Allen",2766 Broad Avenue,Memphis,TN,38112-
10494,Torrance,"Bamdad, Behzad & Nina","2808 Oregon Ct, Ste L9",Torrance,CA,90503-
10501,Bordentown/Pemberton,"Barbera, Pietro M. & Gina","3 3rd Street, Suite 030",Bordentown,NJ,08505-
10502,Fallbrook/South Oceanside,"Vance, Randal S. & Rebecca N.",215 W. Ash Street,Fallbrook,CA,92028-
10503,East Louisville,"Wilson, Jason E.",334 Production Court,Louisville,KY,40299-
10504,SE Jefferson County,"Wilson, Jason E.",334 Production Court,Louisville,KY,40299-
10506,Encino/Sherman Oaks,"Reed, Alan F. & Corral, Manuel T. & Barber, Darryn",16601 Ventura Blvd. 4th floor,Encino,CA,91436-
10507,Eastern Main Line/Bala Cynwyd,"Fabiani, Vincent G.",5127 Lancaster Avenue,Philadelphia,PA,19131-
10508,Palos Verdes,"Shahidi, Afshin","1871 N. Gaffey Street, Suite D",San Pedro,CA,90731-
10509,"Kingston, Pittston City and Wyoming County","Lazo, John S.",210 Division Street,Kingston,PA,18704-
10510,"Aitkin, Carlton & West St. Louis Counties","Pehrson, Gene A. & Heidi A.",717 NE 4th Street,Grand Rapids,MN,55744-
